OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
41263,Bryant St&26TH St SE-NS/BZ,BRYT26S1,BRYT26ST,3751,37.74951,-122.40873,0,26TH ST,BRYANT ST,NS,SE,BZ,0,20230512124615,14809584,141,None,POINT (-122.40873 37.74951),53,53,3,2,20
41564,Fillmore St&North Point St SE-NS/PS,FILLN P0,FILLN PT,4630,37.803547,-122.436791,0,NORTH POINT ST,FILLMORE ST,NS,SE,None,0,20230512124615,14810939,141,None,POINT (-122.43679 37.803547),17,17,4,6,13
42658,Curtis St&Prague St W-NS/SB,CURTPRA0,CURTPRAG,4336,37.710209,-122.437955,0,PRAGUE ST,CURTIS ST,NS,WE,None,0,20230512124615,14813782,141,None,POINT (-122.43796 37.71021),58,58,9,1,7
42589,Quintara St&31st Ave SW-NS,QUIN31A1,QUIN31AV,6155,37.748,-122.48905,0,31ST AVE,QUINTARA ST,NS,SW,None,0,20230512124615,14815200,141,None,POINT (-122.48905 37.748),40,40,10,7,35
41676,Harrison St&5th St W-FS/BZ,HARR 5S1,HARR 5ST,4969,37.778914,-122.402137,0,5TH ST,HARRISON ST,FS,WE,BZ,0,20230512124615,14811116,141,None,POINT (-122.40214 37.778915),32,32,1,10,34
41448,Division St&Bryant St SE-FS/BZ,DIVNBRY0,DIVNBRYT,4436,37.76934,-122.41074,0,BRYANT ST,DIVISION ST,FS,SE,None,0,20230512124615,14810612,141,None,POINT (-122.41074 37.76934),32,32,3,9,20
41097,30th Ave&Ulloa St NW-NS/PS,30AVULO0,30AVULOA,3534,37.74077,-122.48739,0,ULLOA ST,30TH AVE,NS,NW,FL,0,20230512124615,14809300,141,None,POINT (-122.48739 37.74077),40,40,10,7,35
43326,California St&Arguello Blvd NW-FS/BZ,CALIARG0,CALIARGL,3845,37.785703,-122.459288,0,ARGUELLO BLVD,CALIFORNIA ST,FS,NW,BZ,0,20230512124615,14818970,141,None,POINT (-122.45929 37.7857),4,4,8,6,11
42710,Point Lobos Ave&44th Ave NE-NS/SB,PTLO44A0,PTLO44AV,6111,37.779837,-122.50501,0,44TH AVE,POINT LOBOS AVE,NS,NE,None,0,20230512124615,14816835,141,None,POINT (-122.50501 37.77984),6,6,8,4,29
41698,Mason St&Green St SW-FS,MASNGRE1,MASNGREN,5363,37.79902,-122.412352,0,GREEN ST,MASON ST,FS,SW,None,1,20230512124615,14811320,141,None,POINT (-122.41235 37.79902),107,107,6,3,21
43230,Stanyan St&Hayes St SE-NS/BZ,STANHAY1,STANHAYS,6480,37.772819,-122.454186,0,HAYES ST,STANYAN ST,NS,SE,BZ,0,20230512124615,14814300,141,None,POINT (-122.454185 37.77282),24,24,7,11,18
42607,150 Otis St NW-MB/BB,OTIS 150,OTIS 150,5835,37.771594,-122.420422,0,None,OTIS ST,MB,NW,BB,0,20230512124615,14816735,141,None,POINT (-122.420425 37.771595),32,32,1,10,20
41939,Noriega St&29th Ave SW-NS/BZ,NORI29A1,NORI29AV,5746,37.753692,-122.48731,0,29TH AVE,NORIEGA ST,NS,SW,BZ,0,20230512124615,14811789,141,None,POINT (-122.48731 37.753693),39,39,10,7,35
43215,Steuart &Mission St W-NS/BZ,STEUMIS1,STEUMISS,6498,37.7933,-122.39344,0,MISSION ST,STEUART ST,NS,NW,BZ,0,20230512124615,14818890,141,None,POINT (-122.39344 37.7933),108,108,6,10,8
42762,Van Ness Ave&Union St NS-N/SI,V N UNI2,,8097,37.798576,-122.424035,,UNION ST,VAN NESS AVE,,,,,20230512124615,14813859,141,None,POINT (-122.424034 37.798576),15,15,4,6,13
43296,Corbett Ave&Hattie St NW-FS/SB,CRBTHAT0,CRBTHATI,4179,37.761711,-122.441122,0,HATTIE ST,CORBETT AVE,FS,NW,None,0,20230512124615,14817417,141,None,POINT (-122.441124 37.76171),115,115,7,5,5
40759,4th St&Folsom St NS N_PS,.4STFOL1,4STFOLS,3158,37.782081,-122.401333,0,FOLSOM ST,04TH ST,FS,SO,BZ,0,20230512124615,14808355,141,None,POINT (-122.40134 37.78208),32,32,1,10,34
43901,Townsend & Lusk E-FS/BZ,TOWNLUS3,,8110,37.778,-122.393748,,LUSK ST,TOWNSEND ST,,,,,20230512124615,14819905,141,None,POINT (-122.393745 37.778),34,34,1,10,4
42306,5th St&Brannan St S-MB/SI,.5STBRAN,None,7622,37.776244,-122.398524,0,BLUXOME ST,5TH ST,None,None,None,0,20230512124615,14819585,141,None,POINT (-122.39852 37.776245),32,32,1,10,4
